Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
3.81146425,-12.30699921,14.31542969,-38.27383804,42.67646231
3.82149425,-12.95308018,13.74054718,-38.26888275,42.67425817
3.83152525,-13.55041504,13.09395599,-38.05397797,42.46375714
3.84155525,-14.0952549,12.36656189,-37.98560715,42.36170929
3.85158525,-14.41458607,11.67477417,-38.04191589,42.32337425
3.86161525,-14.47248268,11.13013458,-38.06686401,42.21870186
3.87164525,-14.32959747,10.770401,-38.18777084,42.18583582
3.88167525,-14.20482349,10.31367493,-38.36334991,42.18880797
3.89170625,-14.13194656,10.28768158,-38.48960114,42.27289559
3.90173625,-14.00802708,10.0675354,-38.64344788,42.31898103
3.91176625,-13.85497475,9.998962402,-38.63362885,42.24330541
3.92179625,-13.65880871,9.705451965,-38.80736542,42.27020776
3.93182625,-13.25071907,9.761260986,-38.89810944,42.23655632
3.94185725,-12.858922,9.906661987,-39.04681396,42.28649321
3.95188725,-12.38644314,10.12570953,-39.18837738,42.32827529
3.96191725,-11.79623985,10.32788086,-39.10144806,42.12765882
3.97194725,-11.32472038,10.35192108,-39.32283401,42.21015087
3.98197725,-10.72255325,10.58511353,-39.5805397,42.35135063
3.99200825,-10.42036438,10.71968842,-39.61743546,42.3442665
4.00203825,-10.27930927,11.05780792,-39.57846451,42.36028999
4.01206825,-10.28227043,11.36656952,-39.35587692,42.2351635
4.02209825,-10.45851135,11.45402527,-39.58070755,42.51126397
4.03212825,-10.80806541,11.73347473,-39.4123497,42.51849029
4.04215825,-11.20933437,11.9307251,-39.07397079,42.36468544
4.05218925,-11.5952282,12.0630722,-38.97825623,42.41782039
4.06221925,-11.72216225,12.10496521,-38.65763474,42.17051095
4.07224925,-11.8911581,12.24758148,-38.87347031,42.45644341
4.08227925,-11.96112061,12.39345551,-38.93125534,42.57122018
4.09230925,-11.72709465,12.4549408,-38.91944885,42.5132191
4.10234025,-11.4636507,12.60488129,-38.99957657,42.55896254
4.11237025,-11.13357639,12.47875214,-38.85494995,42.30109826
4.12240025,-10.89975643,12.46561432,-39.04843903,42.41434688
4.13243025,-10.71720505,12.42171478,-39.13750076,42.43702921
4.14246025,-10.81416512,12.49791718,-39.20421982,42.54544573
4.15249025,-10.90459251,12.6699295,-39.08705139,42.51158475
4.16252125,-11.24857521,12.75422668,-38.79904556,42.36232618
4.17255125,-11.66886806,12.94202423,-38.88363266,42.60980359
4.18258125,-12.00109863,12.81923676,-38.83860016,42.62389074
4.19261125,-12.5147953,12.95253754,-38.63531876,42.62717661
4.20264125,-12.69607162,13.00035858,-38.44019699,42.5187994
4.21267225,-13.04635906,13.01795197,-38.28128815,42.48684008
4.22270225,-13.28735065,13.03146362,-38.30374908,42.58579488
4.23273225,-13.14985657,12.94384003,-38.49661255,42.69017334
4.24276225,-12.91450882,12.83454132,-38.51541138,42.60219363
4.25279225,-12.62370491,12.91783905,-38.55592346,42.57684494
4.26282325,-12.22190952,12.83124542,-38.62543869,42.49635803
4.27285325,-11.89977932,12.8505249,-38.92366028,42.6824562
4.28288325,-11.58154774,12.87194061,-39.08712769,42.75070355
4.29291325,-11.13592148,12.75984192,-39.16808319,42.67272025
4.30294325,-10.76411629,12.77431488,-39.05992508,42.48207937
4.31297325,-10.61767769,12.75696564,-39.32633209,42.68530951
